Cluster;Position;Attr0;Attr1;Attr2;Attr3;Value
-1;1;80.0;-1.0;80.0;-1.0;The written thesis is appropriate in extent and style.
-1;1;95.0;-1.0;-1.0;-1.0;The content of the thesis is logically divided into __ chapters and all of them contain balanced amount of text and information.
-1;1;100.0;-1.0;-1.0;-1.0;The thesis is properly structured and well written, chapters and sections are efficiently organized.
-1;1;100.0;-1.0;-1.0;-1.0;The thesis is very well structured and provides surprisingly readable insight into the presented topic.
-1;1;100.0;-1.0;-1.0;-1.0;The thesis document is well written, coherent and forms one whole piece.
-1;2;95.0;-1.0;-1.0;-1.0;Furthermore, it reads as a whole, it is self-explanatory, and there are good links among chapters.
-1;2;100.0;-1.0;-1.0;-1.0;Overall there is a nice logical structure, which makes the thesis easy to read and comprehend.
-1;2;80.0;90.0;-1.0;-1.0;The student's ideas are clearly delivered.
-1;2;-1.0;35.0;-1.0;-1.0;It is not clear from the work if __.
-1;2;-1.0;35.0;-1.0;-1.0;The author sometimes uses abbreviations which are not explained.
-1;2;-1.0;30.0;-1.0;-1.0;The student often uses the same symbols in different meanings.
-1;2;35.0;-1.0;-1.0;-1.0;For example, the chapter __ concerns mostly __, while it was expected that this chapter would be focused on __.
-1;2;30.0;-1.0;-1.0;-1.0;However, the chapter __ consist only of __ and I miss __.
-1;2;40.0;-1.0;-1.0;-1.0;Structuring of the chapter __ is not appropriate.
-1;2;50.0;50.0;-1.0;-1.0;There are small deficiencies with the definitions and the consistent use of defined terms.
-1;2;50.0;-1.0;-1.0;-1.0;Some chapters could have been structured slightly better in order to make understanding and reading easier.
-1;2;50.0;-1.0;-1.0;-1.0;As for the logical structure --- the thesis could be better organized and structured.
-1;1;70.0;35.0;35.0;35.0;The structuring of this thesis is relatively good, but there are many drawbacks.
-1;1;-1.0;75.0;75.0;75.0;To the best of my knowledge, there are no mistakes in the formalism in the thesis.
-1;2;-1.0;-1.0;90.0;-1.0;The language used is formal, but simple and easy to understand.
-1;2;-1.0;-1.0;85.0;-1.0;The language level is good considering the fact that this is most likely the first larger work the student had to write in English.
-1;1;-1.0;-1.0;100.0;-1.0;The author's level of English is beyond expectations.
-1;1;-1.0;-1.0;100.0;-1.0;The language of the thesis, being in English, is extremely good for a non-native speaker.
-1;1;65.0;-1.0;70.0;50.0;The formal level of this thesis is adequate, although the typography could be improved.
-1;2;-1.0;-1.0;-1.0;30.0;Although English is not the native language of the student and mistakes are expected, there are many typos which could have been easily filtered by the use of a spellchecker.
-1;2;-1.0;-1.0;-1.0;30.0;The way of referencing to bibliography is inconsistent.
-1;2;-1.0;-1.0;-1.0;25.0;The work contains too many typos.
-1;2;-1.0;-1.0;-1.0;35.0;The references are not properly and uniformly formated.
-1;2;-1.0;-1.0;-1.0;35.0;The formatting, however, shows more problems.
-1;1;40.0;30.0;-1.0;35.0;The readability of the chosen font is disputable and author inconsistently uses __.
-1;1;-1.0;-1.0;70.0;70.0;The thesis contains only a few insignificant grammar mistakes and very subtle typography offences.
-1;2;45.0;45.0;-1.0;45.0;I recommend the student to maintain consistency in his future work.
-1;1;-1.0;60.0;60.0;60.0;I consider the formal level of this thesis to be average.
-1;2;-1.0;-1.0;50.0;55.0;There are minor grammatical errors (mostly __).
-1;2;75.0;-1.0;50.0;55.0;However, these mistakes do not affect the general readability of the text.
-1;1;40.0;-1.0;35.0;35.0;The formal level of the thesis was expected to be far better.
-1;1;40.0;-1.0;35.0;35.0;There are many issues to work on and I do not provide a complete list, just several examples:
-1;2;35.0;-1.0;30.0;30.0;These formal issues devaluate achieved results as well as the thesis itself.
-1;2;-1.0;-1.0;75.0;-1.0;The rest of the text uses better formal English, with a few exceptions.
-1;2;-1.0;-1.0;-1.0;55.0;A few typos have been detected, however, they do not influence the quality of the thesis.
-1;2;-1.0;90.0;40.0;-1.0;There are lots of grammar mistakes with no influence to the clarity of the text.
